Number,Title,Artist,Year,Division,Women,POC
170,Lonesome as a Shadow,Charley Crockett,2018,D2,n,y
171,Days Are Gone,HAIM,2013,D2,y,n
172,The People's Key,Bright Eyes,2011,D2,n,n
173,Sailor's Guide to Earth,Sturgill Simpson,2016,MLL,n,n
174,Gang of Youths MTV Unplugged,Gang of Youths,2018,D1,n,y
175,Anthem +3,Father John Misty,2020,D2,n,n
176,Excitable Boy,Warren Zevon,1978,MLL,n,n
177,Darkness on the Edge of Town,Bruce Springsteen and the E Street Band,1978,MLL,n,y
178,Blue,Joni Mitchell,1971,D1,y,n
179,Born to Run,Bruce Springsteen and the E Street Band,1975,MLL,n,y
180,Southland Mission,Phil Cook,2015,D1,n,n
181,Ride the Black Wave,The Donkeys,2014,D2,n,n
182,Lover,Taylor Swift,2019,D2,y,n
183,We're All Gonna Die,Dawes,2016,D2,n,n
184,Set My Heart on Fire Immediately,Perfume Genius,2020,D1,n,n
185,Folklore,Taylor Swift,2020,D1,y,n
186,Case Study 01,Daniel Caesar,2019,D2,n,y
187,ATLiens,OutKast,1996,D1,n,y
188,Lotta Sea Lice,Courtey Barnett & Kurt Vile,2017,D2,y,n
189,Sticky Fingers,The Rolling Stones,1971,D1,n,n
190,Six,Six--Original Cast Recording,2018,D2,y,y
191,Midnight Marauders,Tribe Called Quest,1993,D1,n,y
192,Blues,Jimi Hendrix,1994,D1,n,y
193,Circles,Mac Miller,2020,D2,n,n
194,Mount Royal,Julian Lage & Chris Eldridge,2017,D2,n,n
195,Country Was,The Avett Brothers,2002,D2,n,n
196,Laps Around the Sun,Ziggy Alberts,2018,D2,n,n
197,The Outlaws,The Outlaws,1975,D2,n,n
198,It Ain't Easy,Three Dog Night,1970,D2,n,n
199,Rock n Roll Animal,Lou Reed,1974,D1,n,n
200,As Time Goes By,Julius Wechter & the Baja Marimba Band,1971,D1,n,n
201,Mexicana,Segovia,1967,D2,n,y
202,Sprained Ankle,Julien Baker,2015,D1,y,n
203,Trouble in Paradise,Randy Newman,1983,D2,n,n
204,Gypsy Cowboy,New Riders of the Purple Sage,1972,D3,n,n
205,Color Theory,Soccer Mommy,2020,D1,y,n
206,Absolute Loser,Fruit Bats,2016,D1,n,n
207,Fearless,Taylor Swift,2008,D1,y,n
208,Workingman's Dead,The Grateful Dead,1970,D2,n,n
209,Speak Out,Various Artists,2018,D2,y,y
210,Boogie Bands and One Night Stands,Kathy Dalton,1974,D2,y,n
211,Nilsson Schmilsson,Harry Nilsson,1971,D1,n,n
212,Lianne Le Havas,Lianne Le Havas,2020,D1,y,y
213,At Yankee Stadium,NRBQ,1978,D1,n,n
214,Loaded,The Velvet Underground,1970,D1,n,n
215,Chewing Cotton Wool,The Japanese House,2020,D2,y,n
216,Candid,Whitney,2020,D2,n,n
217,Noise Floor,Bright Eyes,2006,D1,n,n
218,Every Day and Every Night,Bright Eyes,1999,D2,n,n
219,The Happy Trumpet,Al Hirt,1966,D2,n,n
220,Bobby Charles,Bobby Charles,1972,D2,n,n
221,"Down in the Weeds, Where the World Once Was",Bright Eyes,2020,D1,n,n
222,Piano Rags by Scott Joplin,Joshua Rifkin,1970,D2,n,n
223,Do It Yourself,Ian Dury and the Blockheads,1979,D2,n,y
224,Led Zeppelin II,Led Zeppelin,1969,MLL,n,n
225,Harlem River Blues,Justin Townes Earle,2010,D1,n,n
226,The Saint of Lost Causes,Justin Townes Earle,2019,D2,n,n
227,Upside Down Mountain,Conor Oberst,2014,D2,n,n
228,Midnight at the Movies,Justin Townes Earle,2009,D1,n,n
229,Kids in the Street,Justin Townes Earle,2017,D2,n,n
230,Eno Axis,H.C. McEntire,2020,D2,y,n
231,The Felice Brothers,The Felice Brothers,2008,D1,n,n
232,Gunfighter Ballads and Trail Songs,Marty Robbins,1959,MLL,n,n
233,Twisted Rivers,The Weeks,2020,D2,n,n
234,Megafaun,Megafaun,2011,D1,n,n
235,Heretofore,Megafaun,2010,D2,n,n
236,Oh Mon Dieu,Kevin Morby,2020,D1,n,n
237,Speak Now,Taylor Swift,2010,D3,y,n
238,Undress,The Felice Brothers,2019,D1,n,n
239,Magnolia Electric Co.,Songs: Ohia / Magnolia Electric Co.,2003,D2,n,n
240,Ghost Tropic,Songs: Ohia,2000,D1,n,n
241,Lukas Nelson & Promise of the Real,Lukas Nelson and Promise of the Real,2017,D1,n,n
242,Greatest Hits,Jr. Walker and the All-Stars,1965,D1,n,y
243,My Dearest Darkest Neighbor,Hurray for the Riff Raff,2013,D2,y,y
244,Oh Sweet Café Racer,Sumbuck,2020,D2,n,n
245,Long Violent History,Tyler Childers,2020,D2,n,n
246,Favorite Waitress,The Felice Brothers,2014,D1,n,n
247,Purgatory,Tyler Childers,2017,MLL,n,n
248,War Elephant,Deer Tick,2007,D1,n,n
249,Talk Thelonious,Terry Adams,2015,D1,n,n
250,Sally Can't Dance,Lou Reed,1974,D1,n,n
251,The Boatman's Call,Nick Cave and the Bad Seeds,1997,D2,n,n
252,Illuminations,Buffy Sainte-Marie,1969,D1,y,y
253,Surely You Joust,Ray Stevens,1986,D3,n,n
254,Dogrel,Fontaines D.C.,2019,D1,n,n
255,A Hero's Death,Fontaines D.C.,2020,D1,n,n
256,Tim,The Replacements,1985,D1,n,n
257,Have You Lost Your Mind Yet,Fantastic Negrito,2020,D1,n,y
258,Metamodern Sounds in Country Music,Sturgill Simpson,2014,MLL,n,n
259,Unknown Pleasures,Joy Division,1979,D2,n,n
260,Midnight Manor,The Nude Party,2020,D1,n,n
261,School Daze,Hiss Golden Messenger,2020,D2,n,n
262,Good Luck With Whatever,Dawes,2020,D2,n,n
263,Natural Affair,The Growlers,2019,D2,n,n
264,Habit,Snail Mail,2016,D2,y,n
265,The Baby,Samia,2020,D1,y,y
266,Aromanticism,Moses Sumney,2017,D1,n,y
267,Kind of Blue,Miles Davis,1959,D1,n,y
268,Grae,Moses Sumney,2020,D1,n,y
269,Cutting Grass Vol. 1,Sturgill Simpson,2020,D1,n,n
270,Sundowner,Kevin Morby,2020,D2,n,n
271,Serpentine Prison,Matt Berninger,2020,D2,n,n
272,"good kid, m.A.A.d city",Kendrick Lamar,2012,MLL,n,y
273,Channel Orange,Frank Ocean,2012,MLL,n,y
274,IGOR,"Tyler, The Creator",2019,D1,n,y
275,DAMN.,Kendrick Lamar,2017,D1,n,y
276,Acid Rap,Chance the Rapper,2013,D1,n,y
277,3001: A Laced Odyssey,Flatbush Zombies,2016,D1,n,y
278,Mirrorland,EARTHGANG,2019,D2,n,y
279,"Golly, Good Grief",Knot Art,2020,D2,n,n
280,Vacation in Hell,Flatbush Zombies,2018,D1,n,y
281,Time Without Consequence,Alexi Murdoch,2006,D2,n,n
282,"Those Words, Those Frames",Celeste Krishna,2009,D2,y,n
283,Big Heart Manners,Atta Boy,2020,D3,y,n
284,Time (The Revelator),Gillian Welch,2001,D1,y,n
285,Out of Sorts,Atta Boy,2012,D1,y,n
286,My Own Mess,Skeggs,2018,D1,n,n
287,Permament Hermit,Ruby Fields,2019,D1,y,n
288,Your Dad's Opinion for Dinner,Ruby Fields,2018,D2,y,n
289,Stories Don't End,Dawes,2013,D2,n,n
290,Duke Elegant,Dr. John,2000,MLL,n,n
291,Genuine Negro Jig,Carolina Chocolate Drops,2010,D1,y,y
292,The Balcony,Catfish and the Bottlemen,2014,D2,n,n
293,Bob Dylan's Greatest Hits,Bob Dylan,1967,D1,n,n
294,Skullcrusher EP,Skullcrusher,2020,D1,y,n
295,Bustin' Out,Pure Prarie League,1972,D3,n,n
296,Goes West,William Tyler,2019,D1,n,n
297,Modern Country,William Tyler,2016,D1,n,n
